collector,ip,site,hostname,os,type
ash0sednrllp001,10.2.56.193,ashburn,ash0sednrllp001*,linux,vm
ash0sednrllp002,10.2.56.187,ashburn,ash0sednrllp002*,linux,vm
ash0sednrlwp001,10.2.56.188,ashburn,ash0sednrlwp001*,windows,vm
ash0sednrlwp002,10.2.56.189,ashburn,ash0sednrlwp002*,windows,vm
atl1-arcagt-wp1,10.71.4.15,atlanta,atl1-arcagt-wp1*,windows,legacy
bos1-arcagt-wp1,10.71.36.15,boston,bos1-arcagt-wp1*,windows,legacy
chi-arcagt-wp1,10.94.4.15,chicago,chi-arcagt-wp1*,windows,legacy
den1-arcagt-wp1,10.126.132.15,denver,den1-arcagt-wp1*,windows,legacy
dub0sednrllp001,10.128.11.149,dublin,dub0sednrllp001*,linux,vm
dub0sednrlwp001,10.128.11.188,dublin,dub0sednrlwp001*,windows,vm
frd-arcagt-wp1,10.72.67.15,fredricton,frd-arcagt-wp1*,windows,legacy
hfx-arcagt-wp1,10.72.4.15,halifax,hfx-arcagt-wp1*,windows,legacy
hrn-arcagt-wp1,10.23.11.7,herndon,hrn-arcagt-wp1*,windows,legacy
hyd-arcagt-wp1,10.204.4.15,hyderabad,hyd-arcagt-wp1*,windows,legacy
vac-arcagt-wp1,10.126.4.15,legacy,vac-arcagt-wp1*,windows,legacy
lons-arc-agt-wp1,10.133.11.15,london surburbia,lons-arc-agt-wp1*,windows,legacy
lon2-arcagt-wp1,10.134.4.15,london,lon2-arcagt-wp1*,windows,legacy
mel1-arcagt-wp1,10.194.68.15,melbourne,mel1-arcagt-wp1*,windows,legacy
arcagent-mor1,10.143.11.7,morges,arcagent-mor1*,windows,legacy
muc-arc-agt-wp1,10.150.11.5,munich,muc-arc-agt-wp1*,windows,legacy
nyc-arc-agt1,10.92.11.15,new york,nyc-arc-agt1*,windows,legacy
nyc1-arcagt-wp1,10.94.68.15,new york,nyc1-arcagt-wp1*,windows,legacy
nyc2-arcagt-wp1,10.94.132.15,new york,nyc2-arcagt-wp1*,windows,legacy
arcagent-par1,10.137.11.5,paris,arcagent-par1*,windows,legacy
par1sednrlwp001,10.136.4.15,paris,par1sednrlwp001*,windows,vm
pdx-arcagt-wp1,10.126.68.15,portland,pdx-arcagt-wp1*,windows,legacy
sfm0sednrllp001,10.1.45.194,san francisco,sfm0sednrllp001*,linux,vm
sfm0sednrllp002,10.1.45.234,san francisco,sfm0sednrllp002*,linux,vm
sfm0sednrllp003,10.1.45.235,san francisco,sfm0sednrllp003*,linux,vm
sfm0sednrllp004,10.1.45.236,san francisco,sfm0sednrllp004*,linux,vm
sfm0sednrlwp001,10.1.45.206,san francisco,sfm0sednrlwp001*,windows,vm
sfm0sednrlwp002,10.1.45.215,san francisco,sfm0sednrlwp002*,windows,vm
sfm0sednrlwp003,10.1.45.216,san francisco,sfm0sednrlwp003*,windows,vm
sfm0sednrlwp004,10.1.45.217,san francisco,sfm0sednrlwp004*,windows,vm
sfm0sednrlwp005,10.1.45.199,san francisco,sfm0sednrlwp005*,windows,vm
sfm0sednrlwp006,10.1.45.247,san francisco,sfm0sednrlwp006*,windows,vm
sfo5sednlrwp001,10.10.4.15,san francisco,sfo5sednlrwp001*,windows,vm
smt0sednrlwp001,10.8.11.21,san mateo,smt0sednrlwp001*,windows,vm
smt0sednrllp001,10.8.11.22,san mateo,smt0sednrllp001,linux,vm
smo-arc-agt-wp1,10.16.11.5,santa monica,smo-arc-agt-wp1*,windows,legacy
sea-arcagt1,10.22.11.5,seattle,sea-arcagt1*,windows,legacy
sin-arc-agt-wp1,10.200.11.15,singapore,sin-arc-agt-wp1*,windows,legacy
spk0sednrllp001,10.19.11.5,spokane,spk0sednrllp001*,linux,vm
spk0sednrlwp001,10.19.11.30,spokane,spk0sednrlwp001*,windows,vm
stj2-arcagt-wp1,10.72.132.15,st. john,stj2-arcagt-wp1*,windows,legacy
sto-arc-agt-wp1,10.132.11.5,stockholm,sto-arc-agt-wp1*,windows,legacy
syd-arcagt1,10.208.11.15,sydney,syd-arcagt1*,windows,legacy
tpa-arc-agt-wp1,10.93.11.5,tampa bay,tpa-arc-agt-wp1*,windows,legacy
tlv-arcagt-wp1,10.150.36.15,tel aviv,tlv-arcagt-wp1*,windows,legacy
tok1-arcagt-wp1,10.194.4.15,tokyo,tok1-arcagt-wp1*,windows,legacy
tor-dnr-log-wp1,10.85.11.15,toronto,tor-dnr-log-wp1*,windows,vm
arcsight-tor,10.85.11.15,toronto,tor-dnr-log-wp1*,windows,vm
hcanivel-wsm,10.1.145.34,sfm,hcanivel-wsm*,mac,vm
